,Course,TermName,ClassAveLetter,SubjectCode,URL,Instructor
6265,MATH111,W2017,A-,MATH,https://www.mcgill.ca/study/2016-2017/courses/math-111,"Fox, Thomas F"
6266,MATH111,W2021,A-,MATH,https://www.mcgill.ca/study/2020-2021/courses/math-111,"Causley, Broderick"
6267,MATH112,F2011,B-,MATH,https://www.mcgill.ca/study/2011-2012/courses/math-112,"Froehlich, Sara"
6268,MATH112,F2012,B-,MATH,https://www.mcgill.ca/study/2012-2013/courses/math-112,"El Hajj, Layan"
6269,MATH122,F2013,B-,MATH,https://www.mcgill.ca/study/2013-2014/courses/math-122,"Trudeau, Sidney; Chen, Yu-Ting"
6270,MATH122,F2014,C+,MATH,https://www.mcgill.ca/study/2014-2015/courses/math-122,"Anderson, William J; Trudeau, Sidney"
6271,MATH122,F2015,B-,MATH,https://www.mcgill.ca/study/2015-2016/courses/math-122,"Elmasri, Mohamad; Trudeau, Sidney"
6272,MATH122,W2016,B-,MATH,https://www.mcgill.ca/study/2015-2016/courses/math-122,"Novytska, Yuliya"
6273,MATH122,F2016,B-,MATH,https://www.mcgill.ca/study/2016-2017/courses/math-122,"Trudeau, Sidney; Liu, Zheng"
6274,MATH122,F2017,B-,MATH,https://www.mcgill.ca/study/2017-2018/courses/math-122,"Sektnan, Lars"
6275,MATH122,F2018,B-,MATH,https://www.mcgill.ca/study/2018-2019/courses/math-122,"Trudeau, Sidney"
6276,MATH122,F2019,B-,MATH,https://www.mcgill.ca/study/2019-2020/courses/math-122,"Trudeau, Sidney"
6277,MATH122,F2020,A,MATH,https://www.mcgill.ca/study/2020-2021/courses/math-122,"Fortier, Jérôme"
6278,MATH122,F2021,B,MATH,https://www.mcgill.ca/study/2021-2022/courses/math-122,"Duchesne, Gabriel William"
6279,MATH122,F2022,A-,MATH,https://www.mcgill.ca/study/2022-2023/courses/math-122,"Abi Younes, Elio"
6280,MATH122,F2023,B+,MATH,https://www.mcgill.ca/study/2023-2024/courses/math-122,"Hedicke, Jakob"
6281,MATH123,W2014,B+,MATH,https://www.mcgill.ca/study/2013-2014/courses/math-123,"Trudeau, Sidney; Anderson, William J"
6282,MATH123,W2015,B+,MATH,https://www.mcgill.ca/study/2014-2015/courses/math-123,"Trudeau, Sidney"
6283,MATH123,W2016,B+,MATH,https://www.mcgill.ca/study/2015-2016/courses/math-123,"Trudeau, Sidney"
6284,MATH123,W2017,B+,MATH,https://www.mcgill.ca/study/2016-2017/courses/math-123,"Trudeau, Sidney; Nagel, Matthias"
6285,MATH123,W2018,A-,MATH,https://www.mcgill.ca/study/2017-2018/courses/math-123,"Trudeau, Sidney"
6286,MATH123,W2019,A-,MATH,https://www.mcgill.ca/study/2018-2019/courses/math-123,"Shokoohi, Farhad"
6287,MATH123,F2019,B,MATH,https://www.mcgill.ca/study/2019-2020/courses/math-123,"Frieden, Gabriel Michael; Trudeau, Sidney"
6288,MATH123,F2020,B+,MATH,https://www.mcgill.ca/study/2020-2021/courses/math-123,"Beckman, Erin"
6289,MATH123,W2021,A-,MATH,https://www.mcgill.ca/study/2020-2021/courses/math-123,"Trudeau, Sidney"
6290,MATH123,F2021,B+,MATH,https://www.mcgill.ca/study/2021-2022/courses/math-123,"Hughes, Thomas James"
6291,MATH123,W2022,B+,MATH,https://www.mcgill.ca/study/2021-2022/courses/math-123,"Abdenbi, Brahim"
6292,MATH123,F2022,B+,MATH,https://www.mcgill.ca/study/2022-2023/courses/math-123,"Macdonald, Jeremy"
6293,MATH123,W2023,B,MATH,https://www.mcgill.ca/study/2022-2023/courses/math-123,"Martine, Gabriel"
6294,MATH123,F2023,A-,MATH,https://www.mcgill.ca/study/2023-2024/courses/math-123,"Keeler, Blake"
6295,MATH123,W2024,A-,MATH,https://www.mcgill.ca/study/2023-2024/courses/math-123,"Sabbagh, Magid"
6296,MATH133,F2012,B-,MATH,https://www.mcgill.ca/study/2012-2013/courses/math-133,"Cormier, Eric; Kelome, Djivede; Anderson, William J; Bailey, Michael"
6297,MATH133,W2013,B,MATH,https://www.mcgill.ca/study/2012-2013/courses/math-133,"Anderson, William J; Candelori, Luca"
6298,MATH133,F2013,C+,MATH,https://www.mcgill.ca/study/2013-2014/courses/math-133,"Brakocevic, Miljan; Kelome, Djivede; Bailey, Michael; Anderson, William J"
6299,MATH133,W2014,C+,MATH,https://www.mcgill.ca/study/2013-2014/courses/math-133,"Banks, Jessica; Trudeau, Sidney"
6300,MATH133,S2014,B,MATH,https://www.mcgill.ca/study/2013-2014/courses/math-133,"Novytska, Yuliya"
6301,MATH133,F2014,B-,MATH,https://www.mcgill.ca/study/2014-2015/courses/math-133,"Cornwell, Christopher; Kelome, Djivede; Trudeau, Sidney; Brandenbursky, Michael"
6302,MATH133,W2015,B-,MATH,https://www.mcgill.ca/study/2014-2015/courses/math-133,"Kelome, Djivede; Trudeau, Sidney"
6303,MATH133,S2015,B,MATH,https://www.mcgill.ca/study/2014-2015/courses/math-133,"Elias, Yara"
6304,MATH133,F2015,B-,MATH,https://www.mcgill.ca/study/2015-2016/courses/math-133,"Disegni, Daniel; Kelome, Djivede; Baratin, Aristide; Anderson, William J"
6305,MATH133,W2016,B-,MATH,https://www.mcgill.ca/study/2015-2016/courses/math-133,"Novytska, Yuliya; Kelome, Djivede"
6306,MATH133,S2016,B-,MATH,https://www.mcgill.ca/study/2015-2016/courses/math-133,"Baratin, Aristide"
6307,MATH133,F2016,B,MATH,https://www.mcgill.ca/study/2016-2017/courses/math-133,"Kelome, Djivede; Huang, Jingyin; Sharma, Amit; Aleyasin, Seyed Ali; Aryan, Farzad"
6308,MATH133,W2017,B,MATH,https://www.mcgill.ca/study/2016-2017/courses/math-133,"Kelome, Djivede"
6309,MATH133,S2017,B,MATH,https://www.mcgill.ca/study/2016-2017/courses/math-133,"Baratin, Aristide"
6310,MATH133,F2017,B-,MATH,https://www.mcgill.ca/study/2017-2018/courses/math-133,"Kelome, Djivede; Dolce, Francesco; Qiu, Guohuan; Sharma, Amit"
6311,MATH133,W2018,B+,MATH,https://www.mcgill.ca/study/2017-2018/courses/math-133,"Wang, Haining"
6312,MATH133,S2018,B,MATH,https://www.mcgill.ca/study/2017-2018/courses/math-133,"Patrias, Rebecca"
6313,MATH133,F2018,B,MATH,https://www.mcgill.ca/study/2018-2019/courses/math-133,"Fortier, Jerome; Shen, Liangming; Pequignot, Yann Batiste; Osajda, Damian"
6314,MATH133,W2019,B-,MATH,https://www.mcgill.ca/study/2018-2019/courses/math-133,"Fortier, Jerome"
6315,MATH133,S2019,B,MATH,https://www.mcgill.ca/study/2018-2019/courses/math-133,"Patrias, Rebecca"
6316,MATH133,F2019,B+,MATH,https://www.mcgill.ca/study/2019-2020/courses/math-133,"Bélanger-Rioux, Rosalie; Omar, Zayd; Albanese, Michael"
6317,MATH133,S2020,A-,MATH,https://www.mcgill.ca/study/2019-2020/courses/math-133,"Sicca Gonçalves, Vladmir"
6318,MATH133,F2020,A-,MATH,https://www.mcgill.ca/study/2020-2021/courses/math-133,"Bélanger-Rioux, Rosalie; Ball, Gavin; Aigner, Florian; Przytycki, Piotr"
6319,MATH133,W2021,A-,MATH,https://www.mcgill.ca/study/2020-2021/courses/math-133,"Kelome, Djivede"
6320,MATH133,S2021,B,MATH,https://www.mcgill.ca/study/2020-2021/courses/math-133,"Munro, Zachary"
6321,MATH133,F2021,B+,MATH,https://www.mcgill.ca/study/2021-2022/courses/math-133,"Bélanger-Rioux, Rosalie; Bibby, Sean; Chinis, Jake; Li, Wanlin; Alfieri, Antonio"
6322,MATH133,W2022,B,MATH,https://www.mcgill.ca/study/2021-2022/courses/math-133,"Fortier, Jérôme"
6323,MATH133,S2022,B-,MATH,https://www.mcgill.ca/study/2021-2022/courses/math-133,"Leroux-Lapierre, Alexis"
6324,MATH133,F2022,B+,MATH,https://www.mcgill.ca/study/2022-2023/courses/math-133,"Bélanger-Rioux, Rosalie; Mazakian, Hovsep; Gerbelli-Gauthier, Mathilde; Alfieri, Antonio"
6325,MATH133,W2023,B-,MATH,https://www.mcgill.ca/study/2022-2023/courses/math-133,"Duchesne, Gabriel William"
6326,MATH133,S2023,C+,MATH,https://www.mcgill.ca/study/2022-2023/courses/math-133,"Leroux-Lapierre, Alexis"
6327,MATH133,F2023,B-,MATH,https://www.mcgill.ca/study/2023-2024/courses/math-133,"Trudeau, Sidney; Collins-Woodfin, Elizabeth; Branchereau, Romain"
6328,MATH133,W2024,B,MATH,https://www.mcgill.ca/study/2023-2024/courses/math-133,"Gerbelli-Gauthier, Mathilde"
6329,MATH133,S2024,B+,MATH,https://www.mcgill.ca/study/2023-2024/courses/math-133,"Bellemare, Hugues"
6330,MATH139,F2013,B-,MATH,https://www.mcgill.ca/study/2013-2014/courses/math-139,"Chen, Linan"
