Class,Course,TermName,ClassAveLetter,ClassAveNum,Credits,
These unofficial class averages were gathered as part of a crowdsourcing initiative by students using the McGill Enhanced browser extension!,,,,,,0
ACCT351-201601,ACCT351,W2016,B,3.0,3,1
ACCT351-201609,ACCT351,F2016,B,3.0,3,1
ACCT351-201701,ACCT351,W2017,B,3.0,3,1
ACCT351-201709,ACCT351,F2017,B,3.0,3,1
ACCT351-201901,ACCT351,W2019,B,3.0,3,1
ACCT351-201909,ACCT351,F2019,C+,2.3,3,1
ACCT351-202005,ACCT351,S2020,B,3.0,3,1
ACCT351-202009,ACCT351,F2020,B+,3.3,3,1
ACCT351-202105,ACCT351,S2021,B+,3.3,3,1
ACCT351-202109,ACCT351,F2021,B-,2.7,3,1
ACCT351-202201,ACCT351,W2022,B+,3.3,3,1
ACCT351-202209,ACCT351,F2022,B-,2.7,3,1
ACCT351-202301,ACCT351,W2023,B+,3.3,3,1
ACCT351-202309,ACCT351,F2023,B+,3.3,3,1
ACCT351-202401,ACCT351,W2024,B+,3.3,3,1
ACCT352-201609,ACCT352,F2016,B,3.0,3,0
ACCT352-201709,ACCT352,F2017,B,3.0,3,0
ACCT352-201801,ACCT352,W2018,B+,3.3,3,0
ACCT352-202109,ACCT352,F2021,B+,3.3,3,0
ACCT352-202201,ACCT352,W2022,B+,3.3,3,0
ACCT352-202209,ACCT352,F2022,B+,3.3,3,0
ACCT352-202301,ACCT352,W2023,B+,3.3,3,0
ACCT352-202309,ACCT352,F2023,B+,3.3,3,0
ACCT354-201609,ACCT354,F2016,B,3.0,3,1
ACCT354-201701,ACCT354,W2017,B,3.0,3,1
ACCT354-201709,ACCT354,F2017,B+,3.3,3,1
ACCT354-201801,ACCT354,W2018,B,3.0,3,1
ACCT354-201901,ACCT354,W2019,B,3.0,3,1
ACCT354-202209,ACCT354,F2022,B+,3.3,3,1
ACCT354-202301,ACCT354,W2023,B+,3.3,3,1
ACCT361-201609,ACCT361,F2016,B+,3.3,3,0
ACCT361-201701,ACCT361,W2017,B,3.0,3,0
ACCT361-201709,ACCT361,F2017,B+,3.3,3,0
ACCT361-201801,ACCT361,W2018,B,3.0,3,0
ACCT361-201809,ACCT361,F2018,B,3.0,3,0
ACCT361-201909,ACCT361,F2019,B+,3.3,3,0
ACCT361-202009,ACCT361,F2020,B+,3.3,3,0
ACCT361-202101,ACCT361,W2021,B+,3.3,3,0
ACCT361-202109,ACCT361,F2021,B+,3.3,3,0
ACCT361-202209,ACCT361,F2022,B,3.0,3,0
ACCT361-202301,ACCT361,W2023,B,3.0,3,0
ACCT361-202309,ACCT361,F2023,B+,3.3,3,0
ACCT361-202401,ACCT361,W2024,B+,3.3,3,0
ACCT362-201801,ACCT362,W2018,B+,3.3,3,1
ACCT362-202101,ACCT362,W2021,A-,3.7,3,1
ACCT362-202201,ACCT362,W2022,B+,3.3,3,1
ACCT362-202309,ACCT362,F2023,A-,3.7,3,1
ACCT362-202401,ACCT362,W2024,B+,3.3,3,1
ACCT385-201701,ACCT385,W2017,B,3.0,3,0
ACCT385-201709,ACCT385,F2017,B,3.0,3,0
ACCT385-201801,ACCT385,W2018,B+,3.3,3,0
ACCT385-201901,ACCT385,W2019,B+,3.3,3,0
ACCT385-201909,ACCT385,F2019,B+,3.3,3,0
