,Course,TermName,ClassAveLetter,ClassAveNum,SubjectCode,URL,Instructor,Instructor_1,Instructor_2,Instructor_3
1024,BIOL111,F2012,B+,3.3,BIOL,https://www.mcgill.ca/study/2012-2013/courses/biol-111,"Hendry, Andrew; Dhindsa, Rajinder S; Krahe, Rudiger","Hendry, Andrew","Dhindsa, Rajinder S","Krahe, Rudiger"
1025,BIOL111,F2013,B+,3.3,BIOL,https://www.mcgill.ca/study/2013-2014/courses/biol-111,"Krahe, Rudiger; Dhindsa, Rajinder S; Hendry, Andrew","Krahe, Rudiger","Dhindsa, Rajinder S","Hendry, Andrew"
1026,BIOL111,F2014,A-,3.7,BIOL,https://www.mcgill.ca/study/2014-2015/courses/biol-111,"Krahe, Rudiger; Dhindsa, Rajinder S; Hendry, Andrew","Krahe, Rudiger","Dhindsa, Rajinder S","Hendry, Andrew"
1027,BIOL111,F2015,B+,3.3,BIOL,https://www.mcgill.ca/study/2015-2016/courses/biol-111,"Krahe, Rudiger; Dhindsa, Rajinder S; Gregory-Eaves, Irene","Krahe, Rudiger","Dhindsa, Rajinder S","Gregory-Eaves, Irene"
1028,BIOL111,F2016,B+,3.3,BIOL,https://www.mcgill.ca/study/2016-2017/courses/biol-111,"Krahe, Rudiger; Dhindsa, Rajinder S; Hendry, Andrew","Krahe, Rudiger","Dhindsa, Rajinder S","Hendry, Andrew"
1029,BIOL111,F2017,B+,3.3,BIOL,https://www.mcgill.ca/study/2017-2018/courses/biol-111,"Hendry, Andrew; Bell, Graham; Dhindsa, Rajinder S; Gregory-Eaves, Irene","Hendry, Andrew","Bell, Graham","Dhindsa, Rajinder S"
1030,BIOL111,F2018,A-,3.7,BIOL,https://www.mcgill.ca/study/2018-2019/courses/biol-111,"Hendry, Andrew; Cristescu, Elena; Hargreaves, Anna","Hendry, Andrew","Cristescu, Elena","Hargreaves, Anna"
1031,BIOL111,F2019,A-,3.7,BIOL,https://www.mcgill.ca/study/2019-2020/courses/biol-111,"Hendry, Andrew; Bell, Graham; Cristescu, Elena; Hargreaves, Anna","Hendry, Andrew","Bell, Graham","Cristescu, Elena"
1032,BIOL111,F2020,A,4.0,BIOL,https://www.mcgill.ca/study/2020-2021/courses/biol-111,"Hendry, Andrew; Bell, Graham; Cristescu, Elena; Hargreaves, Anna","Hendry, Andrew","Bell, Graham","Cristescu, Elena"
1033,BIOL111,F2021,A-,3.7,BIOL,https://www.mcgill.ca/study/2021-2022/courses/biol-111,"Hendry, Andrew; Bell, Graham; Cristescu, Elena; Hargreaves, Anna","Hendry, Andrew","Bell, Graham","Cristescu, Elena"
1034,BIOL111,F2022,A-,3.7,BIOL,https://www.mcgill.ca/study/2022-2023/courses/biol-111,"Hargreaves, Anna; Bell, Graham; Green, David M; Cristescu, Elena","Hargreaves, Anna","Bell, Graham","Green, David M"
1035,BIOL111,F2023,B+,3.3,BIOL,https://www.mcgill.ca/study/2023-2024/courses/biol-111,"Hendry, Andrew; Shapiro, Benjamin Jesse; Cristescu, Elena; Soper, Fiona","Hendry, Andrew","Shapiro, Benjamin Jesse","Cristescu, Elena"
1036,BIOL112,W2013,B,3.0,BIOL,https://www.mcgill.ca/study/2012-2013/courses/biol-112,"Dent, Joseph Alan; Schöck, Frieder","Dent, Joseph Alan","Schöck, Frieder",
1037,BIOL112,W2014,B,3.0,BIOL,https://www.mcgill.ca/study/2013-2014/courses/biol-112,"Dent, Joseph Alan; Schöck, Frieder","Dent, Joseph Alan","Schöck, Frieder",
1038,BIOL112,W2015,B,3.0,BIOL,https://www.mcgill.ca/study/2014-2015/courses/biol-112,"Dent, Joseph Alan; L'Heureux, Anne-Marie; Schöck, Frieder","Dent, Joseph Alan","L'Heureux, Anne-Marie","Schöck, Frieder"
1039,BIOL112,W2016,B,3.0,BIOL,https://www.mcgill.ca/study/2015-2016/courses/biol-112,"Dent, Joseph Alan; Schöck, Frieder","Dent, Joseph Alan","Schöck, Frieder",
1040,BIOL112,W2017,B,3.0,BIOL,https://www.mcgill.ca/study/2016-2017/courses/biol-112,"Schöck, Frieder; Harrison, Paul; Zheng, Huanquan","Schöck, Frieder","Harrison, Paul","Zheng, Huanquan"
1041,BIOL112,W2018,B+,3.3,BIOL,https://www.mcgill.ca/study/2017-2018/courses/biol-112,"Dent, Joseph Alan; Schöck, Frieder","Dent, Joseph Alan","Schöck, Frieder",
1042,BIOL112,W2019,B+,3.3,BIOL,https://www.mcgill.ca/study/2018-2019/courses/biol-112,"Dent, Joseph Alan; Schöck, Frieder","Dent, Joseph Alan","Schöck, Frieder",
1043,BIOL112,W2021,A-,3.7,BIOL,https://www.mcgill.ca/study/2020-2021/courses/biol-112,"Dent, Joseph Alan; Schöck, Frieder","Dent, Joseph Alan","Schöck, Frieder",
1044,BIOL112,W2022,B+,3.3,BIOL,https://www.mcgill.ca/study/2021-2022/courses/biol-112,"Dent, Joseph Alan; Schöck, Frieder","Dent, Joseph Alan","Schöck, Frieder",
1045,BIOL112,W2023,B+,3.3,BIOL,https://www.mcgill.ca/study/2022-2023/courses/biol-112,"Dent, Joseph Alan; Schöck, Frieder","Dent, Joseph Alan","Schöck, Frieder",
1046,BIOL112,W2024,B+,3.3,BIOL,https://www.mcgill.ca/study/2023-2024/courses/biol-112,"Dent, Joseph Alan; Schöck, Frieder","Dent, Joseph Alan","Schöck, Frieder",
1047,BIOL115,F2013,B+,3.3,BIOL,https://www.mcgill.ca/study/2013-2014/courses/biol-115,"Western, Tamara; Woolley, Sarah","Western, Tamara","Woolley, Sarah",
1048,BIOL115,F2014,A-,3.7,BIOL,https://www.mcgill.ca/study/2014-2015/courses/biol-115,"Vogel, Jacalyn; Woolley, Sarah","Vogel, Jacalyn","Woolley, Sarah",
1049,BIOL115,F2015,B+,3.3,BIOL,https://www.mcgill.ca/study/2015-2016/courses/biol-115,"Woolley, Sarah; Brown, Gregory G; Schöck, Frieder","Woolley, Sarah","Brown, Gregory G","Schöck, Frieder"
1050,BIOL115,F2016,A-,3.7,BIOL,https://www.mcgill.ca/study/2016-2017/courses/biol-115,"Woolley, Sarah; Vogel, Jacalyn","Woolley, Sarah","Vogel, Jacalyn",
1051,BIOL115,F2017,A-,3.7,BIOL,https://www.mcgill.ca/study/2017-2018/courses/biol-115,"Woolley, Sarah; Vogel, Jacalyn","Woolley, Sarah","Vogel, Jacalyn",
1052,BIOL115,F2018,B+,3.3,BIOL,https://www.mcgill.ca/study/2018-2019/courses/biol-115,"Vogel, Jacalyn; Hendry, Andrew; Abouheif, Ehab; Oyama, Tomoko","Vogel, Jacalyn","Hendry, Andrew","Abouheif, Ehab"
1053,BIOL115,F2019,A-,3.7,BIOL,https://www.mcgill.ca/study/2019-2020/courses/biol-115,"Woolley, Sarah; Vogel, Jacalyn","Woolley, Sarah","Vogel, Jacalyn",
1054,BIOL115,F2020,A,4.0,BIOL,https://www.mcgill.ca/study/2020-2021/courses/biol-115,"Woolley, Sarah; Vogel, Jacalyn","Woolley, Sarah","Vogel, Jacalyn",
1055,BIOL115,F2021,A-,3.7,BIOL,https://www.mcgill.ca/study/2021-2022/courses/biol-115,"Woolley, Sarah; Vogel, Jacalyn","Woolley, Sarah","Vogel, Jacalyn",
1056,BIOL115,F2022,B+,3.3,BIOL,https://www.mcgill.ca/study/2022-2023/courses/biol-115,"Woolley, Sarah; Vogel, Jacalyn","Woolley, Sarah","Vogel, Jacalyn",
1057,BIOL115,F2023,A-,3.7,BIOL,https://www.mcgill.ca/study/2023-2024/courses/biol-115,"Woolley, Sarah; Vogel, Jacalyn","Woolley, Sarah","Vogel, Jacalyn",
1058,BIOL200,F2013,B-,2.7,BIOL,https://www.mcgill.ca/study/2013-2014/courses/biol-200,"Bureau, Thomas E; Roy, Richard D W; Fagotto, Francesco; Zetka, Monique","Bureau, Thomas E","Roy, Richard D W","Fagotto, Francesco"
1059,BIOL200,F2014,B-,2.7,BIOL,https://www.mcgill.ca/study/2014-2015/courses/biol-200,"Bureau, Thomas E; Roy, Richard D W; Fagotto, Francesco; Zetka, Monique","Bureau, Thomas E","Roy, Richard D W","Fagotto, Francesco"
1060,BIOL200,F2015,B,3.0,BIOL,https://www.mcgill.ca/study/2015-2016/courses/biol-200,"Bureau, Thomas E; Roy, Richard D W; Zetka, Monique; Hastings, Kenneth E M","Bureau, Thomas E","Roy, Richard D W","Zetka, Monique"
1061,BIOL200,F2016,B,3.0,BIOL,https://www.mcgill.ca/study/2016-2017/courses/biol-200,"Zetka, Monique; Hastings, Kenneth E M; Roy, Richard D W; Lasko, Paul; Reyes Lamothe, Rodrigo","Zetka, Monique","Hastings, Kenneth E M","Roy, Richard D W"
1062,BIOL200,F2017,B,3.0,BIOL,https://www.mcgill.ca/study/2017-2018/courses/biol-200,"Hastings, Kenneth E M; Lasko, Paul; Oyama, Tomoko; Roy, Richard D W; Bureau, Thomas E","Hastings, Kenneth E M","Lasko, Paul","Oyama, Tomoko"
1063,BIOL200,F2018,B,3.0,BIOL,https://www.mcgill.ca/study/2018-2019/courses/biol-200,"Zetka, Monique; Hastings, Kenneth E M; Reyes Lamothe, Rodrigo; Lasko, Paul; Hendricks, Shelton","Zetka, Monique","Hastings, Kenneth E M","Reyes Lamothe, Rodrigo"
1064,BIOL200,F2019,B,3.0,BIOL,https://www.mcgill.ca/study/2019-2020/courses/biol-200,"Roy, Richard D W; Bureau, Thomas E; Hastings, Kenneth E M","Roy, Richard D W","Bureau, Thomas E","Hastings, Kenneth E M"
